"Ссылка на документацию","Статус"
"",""
"/pep-0001","P"
"/pep-0002","PS"
"/pep-0003","PW"
"/pep-0004","P"
"/pep-0005","P"
"/pep-0006","P"
"/pep-0007","P"
"/pep-0008","P"
"/pep-0009","PW"
"/pep-0010","P"
"/pep-0011","P"
"/pep-0012","P"
"/pep-0013","I"
"/pep-0020","I"
"/pep-0042","PW"
"/pep-0100","SF"
"/pep-0101","I"
"/pep-0102","IS"
"/pep-0103","IW"
"/pep-0160","IF"
"/pep-0200","IF"
"/pep-0201","SF"
"/pep-0202","SF"
"/pep-0203","SF"
"/pep-0204","SR"
"/pep-0205","SF"
"/pep-0206","IW"
"/pep-0207","SF"
"/pep-0208","SF"
"/pep-0209","SW"
"/pep-0210","SR"
"/pep-0211","SR"
"/pep-0212","SR"
"/pep-0213","SD"
"/pep-0214","SF"
"/pep-0215","SS"
"/pep-0216","IR"
"/pep-0217","SF"
"/pep-0218","SF"
"/pep-0219","SD"
"/pep-0220","IR"
"/pep-0221","SF"
"/pep-0222","SD"
"/pep-0223","SF"
"/pep-0224","SR"
"/pep-0225","SR"
"/pep-0226","IF"
"/pep-0227","SF"
"/pep-0228","SW"
"/pep-0229","SF"
"/pep-0230","SF"
"/pep-0231","SR"
"/pep-0232","SF"
"/pep-0233","SD"
"/pep-0234","SF"
"/pep-0235","SF"
"/pep-0236","SF"
"/pep-0237","SF"
"/pep-0238","SF"
"/pep-0239","SR"
"/pep-0240","SR"
"/pep-0241","SF"
"/pep-0242","SR"
"/pep-0243","SW"
"/pep-0244","SR"
"/pep-0245","SR"
"/pep-0246","SR"
"/pep-0247","IF"
"/pep-0248","IF"
"/pep-0249","IF"
"/pep-0250","SF"
"/pep-0251","IF"
"/pep-0252","SF"
"/pep-0253","SF"
"/pep-0254","SR"
"/pep-0255","SF"
"/pep-0256","SR"
"/pep-0257","I"
"/pep-0258","SR"
"/pep-0259","SR"
"/pep-0260","SF"
"/pep-0261","SF"
"/pep-0262","SD"
"/pep-0263","SF"
"/pep-0264","SF"
"/pep-0265","SR"
"/pep-0266","SW"
"/pep-0267","SD"
"/pep-0268","SR"
"/pep-0269","SD"
"/pep-0270","SR"
"/pep-0271","SR"
"/pep-0272","IF"
"/pep-0273","SF"
"/pep-0274","SF"
"/pep-0275","SR"
"/pep-0276","SR"
"/pep-0277","SF"
"/pep-0278","SF"
"/pep-0279","SF"
"/pep-0280","SD"
"/pep-0281","SR"
"/pep-0282","SF"
"/pep-0283","IF"
"/pep-0284","SR"
"/pep-0285","SF"
"/pep-0286","SD"
"/pep-0287","I"
"/pep-0288","SW"
"/pep-0289","SF"
"/pep-0290","I"
"/pep-0291","IF"
"/pep-0292","SF"
"/pep-0293","SF"
"/pep-0294","SR"
"/pep-0295","SR"
"/pep-0296","SW"
"/pep-0297","SR"
"/pep-0298","SW"
"/pep-0299","SR"
"/pep-0301","SF"
